"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=1 Ack=1 Win=519 Len=0"
"2","0.000051000","10.33.98.162","204.80.128.1","TLSv1.2","189","Application Data, Application Data, Application Data"
"3","0.052631400","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=1 Ack=136 Win=519 Len=0"
"4","0.069494200","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.105.228"
"5","0.187509900","10.33.98.162","20.195.84.7","TLSv1.2","82","Application Data"
"6","0.250865100","20.195.84.7","10.33.98.162","TCP","60","443  >  65255 [ACK] Seq=1 Ack=29 Win=9664 Len=0"
"7","0.377937500","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.95.143"
"8","0.423142400","10.33.98.162","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"9","0.428987700","10.33.98.162","204.80.128.1","TLSv1.2","281","Application Data"
"10","0.429124100","10.33.98.162","123.16.110.247","UDP","257","9993  >  63138 Len=215"
"11","0.429172100","10.33.98.162","123.16.110.247","UDP","257","30061  >  63138 Len=215"
"12","0.429218000","10.33.98.162","123.16.110.247","UDP","257","55933  >  63138 Len=215"
"13","0.478273100","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=1 Ack=363 Win=519 Len=0"
"14","0.701610900","204.80.128.1","10.33.98.162","TLSv1.2","133","Application Data"
"15","0.751159200","10.33.98.162","204.80.128.1","TCP","54","63539  >  443 [ACK] Seq=363 Ack=80 Win=251 Len=0"
"16","1.706553300","20.195.84.7","10.33.98.162","TLSv1.2","158","Application Data"
"17","1.762049200","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=29 Ack=105 Win=253 Len=0"
"18","2.237586100","20.195.84.7","10.33.98.162","TLSv1.2","81","Application Data"
"19","2.283055900","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=29 Ack=132 Win=253 Len=0"
"20","2.424810700","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.95.143"
"21","3.345968700","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.29.251"
"22","3.753449500","10.33.98.162","20.195.84.7","TLSv1.2","85","Application Data"
"23","3.803096900","20.195.84.7","10.33.98.162","TCP","60","443  >  65255 [ACK] Seq=132 Ack=60 Win=9664 Len=0"
"24","3.970760800","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.42.42"
"25","4.267704800","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.52.228"
"26","5.291793000","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.29.251"
"27","5.307843200","142.250.198.42","10.33.98.162","TLSv1.2","127","Application Data"
"28","5.308323000","10.33.98.162","142.250.198.42","TCP","54","51220  >  443 [FIN, ACK] Seq=1 Ack=74 Win=255 Len=0"
"29","5.333084200","142.250.198.42","10.33.98.162","TCP","60","443  >  51220 [FIN, ACK] Seq=74 Ack=2 Win=1045 Len=0"
"30","5.333147800","10.33.98.162","142.250.198.42","TCP","54","51220  >  443 [ACK] Seq=2 Ack=75 Win=255 Len=0"
"31","5.725784100","10.33.98.162","204.80.128.1","TLSv1.2","203","Application Data"
